repo,subrepo,lang,n_project,n_folder,n_file,n_scope,n_type,n_operation,n_operation_method,n_operation_constructor,n_variable,n_variable_field,n_variable_param,e_includes,e_contains,e_requires,e_declares,e_encloses,e_specializes,e_encapsulates,e_returns,e_instantiates,e_invokes,e_uses,e_parameterizes,e_typed,methods_per_class_mean,methods_per_class_median,methods_per_class_max,methods_per_class_std,fields_per_class_mean,fields_per_class_median,fields_per_class_max,call_fanout_mean,call_fanout_median,call_fanout_max,call_fanout_std,call_fanin_mean,call_fanin_median,call_fanin_max,call_fanin_std,arity_mean,arity_median,arity_max,field_uses_fanin_mean,field_uses_fanin_max,inh_parents_mean,inh_children_mean,inh_children_max,inh_depth_max,inh_depth_mean,file_req_out_mean,file_req_out_max,file_req_in_mean,file_req_in_max,fs_depth_max,scope_depth_max,scope_to_scope_fanout_mean,scope_to_scope_fanout_p90,scope_to_scope_fanout_max,scope_to_type_fanout_mean,scope_to_type_fanout_p90,scope_to_type_fanout_max,folder_to_folder_fanout_mean,folder_to_folder_fanout_p90,folder_to_folder_fanout_max,folder_to_file_fanout_mean,folder_to_file_fanout_p90,folder_to_file_fanout_max,num_methods_mean,num_methods_median,num_methods_max,stmts_mean,stmts_median,stmts_p90,stmts_max,stmts_std,halstead_vocabulary_mean,halstead_length_mean,halstead_volume_mean,halstead_difficulty_mean,halstead_effort_mean,halstead_estimatedBugs_mean,halstead_volume_p90,halstead_effort_p90,coverage_requires,coverage_specializes,coverage_instantiates,coverage_typed,n_type_inbound,n_type_outbound,n_type_transit,n_type_hidden,pct_type_classified,pkg_pct_inbound_mean,pkg_pct_outbound_mean,pkg_pct_transit_mean,pkg_pct_hidden_mean,pkg_pct_inbound_max,pkg_pct_outbound_max,pkg_pct_transit_max,pkg_pct_hidden_max,pkg_profile_entropy_mean,pct_pkg_dominant_inbound,pct_pkg_dominant_outbound,pct_pkg_dominant_transit,pct_pkg_dominant_hidden
527515025__springBoot,,java,1,464,485,88,223,1148,937,211,1142,442,700,1,948,187,440,315,13,1590,321,39,328,870,700,148,5.14798,3,46,5.58831,1.98206,1,22,0.285714,0,14,0.889488,0.285714,0,5,0.669316,0.609756,1,9,1.96833,9,0.058296,0.058296,2,1,1,0.385567,7,0.385567,7,12,4,0.977273,5,14,2.53409,5,11,0.997845,2,26,1.04526,3,8,5.14798,3,46,2.12282,1,3,354,11.7973,10.5061,30.0474,133.678,1.79829,742.401,0.0445592,273.482,777.44,1,1,1,1,57,42,6,118,1,0.257824,0.194272,0.0372549,0.510649,1,1,1,1,0.368477,0.247059,0.164706,0.0235294,0.564706
AntennaPod__AntennaPod,,java,1,663,1145,121,673,4583,3854,729,6375,2505,3870,1,1807,1948,1231,907,117,7088,1041,970,6782,7368,3870,962,6.80981,4,113,9.30031,3.72214,2,105,1.47982,0,47,3.03287,1.47982,0,114,4.93638,0.844425,1,21,2.94132,91,0.173848,0.173848,9,2,1.07692,1.70131,41,1.70131,110,16,7,0.983471,3,18,5.56198,12,35,0.998492,2,39,1.727,5,104,6.80981,4,113,3.1763,2,8,44,4.0092,19.4839,71.1603,357.352,5.5248,6486.51,0.119117,858.208,9326.28,1,1,1,1,132,213,103,225,1,0.18947,0.351096,0.170368,0.289066,1,1,1,1,0.957779,0.174757,0.320388,0.116505,0.38835
Anuken__Mindustry,,java,1,246,3317,74,1352,8455,6936,1519,17126,7928,9198,1,3562,10,2102,2016,535,16383,2085,987,7122,23014,9198,3433,6.2537,4,206,9.88551,5.86391,3,394,0.842342,0,186,2.74246,0.842342,0,113,3.29268,1.08788,1,22,2.90288,353,0.39571,0.39571,46,4,1.25532,0.00301477,3,0.00301477,6,9,4,0.972973,3,26,18.2027,33,151,0.995935,2,42,13.4837,34,300,6.2537,4,206,2.90893,1,6,405,6.13235,24.8175,128.334,852.899,7.67561,74905,0.2843,1318.33,24757.1,1,1,1,1,198,351,288,515,1,0.156391,0.27392,0.264137,0.305552,0.75,1,1,1,1.26996,0.108108,0.243243,0.256757,0.391892
ArthurHub__Android-Image-Cropper,,java,1,91,132,8,37,382,343,39,890,237,653,1,222,9,55,63,5,619,103,23,429,1016,653,81,10.3243,4,81,16.6426,6.40541,2,49,1.12304,0,13,1.98371,1.12304,1,9,1.58297,1.70942,1,17,4.28692,45,0.135135,0.135135,2,1,1,0.0681818,2,0.0681818,5,12,5,0.875,3,3,4.625,30,30,0.989011,2,34,1.45055,3,12,10.3243,4,81,3.09424,1,7,50,5.2872,20.2051,102.875,522.398,9.58353,15690,0.174133,1534.1,35020.3,1,1,1,1,7,5,1,24,1,0.0583333,0.566667,0.00833333,0.366667,0.233333,1,0.0333333,0.8,0.506454,0,0.5,0,0.5
AsyncHttpClient__async-http-client,,java,1,86,371,49,428,3198,2734,464,3670,1200,2470,1,456,667,754,577,130,4398,863,608,4293,2753,2470,514,7.47196,4,86,10.3935,2.80374,1,76,1.3424,0,61,2.8366,1.3424,0,118,5.65835,0.772358,0,74,2.29417,62,0.303738,0.303738,6,4,1.38462,1.79784,26,1.79784,40,12,5,0.959184,2,17,8.73469,19,96,0.988372,2,15,4.31395,10,43,7.47196,4,86,2.03565,1,4,76,3.28136,18.3142,58.0545,280.591,4.35686,2980.77,0.0935303,723.782,6465.35,1,1,1,1,81,127,44,176,1,0.192037,0.310279,0.109702,0.387982,1,1,0.5,1,1.15973,0.125,0.325,0,0.55
Baseflow__PhotoView,,java,1,33,73,5,34,183,155,28,283,81,202,1,105,9,59,47,3,264,33,15,141,207,202,33,5.38235,3,52,10.7949,2.38235,0,44,0.770492,0,13,1.52638,0.770492,0,7,1.11218,1.10383,1,9,2.55556,41,0.0882353,0.0882353,1,1,1,0.123288,4,0.123288,5,11,4,0.8,1,1,6.8,19,19,0.969697,1,10,2.21212,10,13,5.38235,3,52,1.86885,1,4,15,2.21378,12.4206,41.6111,192.13,3.93005,5337.21,0.0640432,229.388,1027.41,1,1,1,1,5,6,1,22,1,0.159649,0.164912,0.0263158,0.649123,0.266667,0.263158,0.0526316,0.666667,1.26582,0,0,0,1
Bearded-Hen__Android-Bootstrap,,java,1,37,143,12,74,549,463,86,2806,2318,488,1,179,165,139,94,58,2867,120,19,562,717,488,140,7.41892,4.5,39,7.7075,31.3243,2,935,1.02368,1,9,1.46401,1.02368,0,20,2.03641,0.888889,1,7,0.309318,14,0.783784,0.783784,11,2,1.03333,1.15385,12,1.15385,18,11,4,0.916667,3,3,6.16667,18,26,0.972973,3,8,3.86486,12,20,7.41892,4.5,39,2.38251,1,5,23,3.11459,14.7965,55.9799,254.241,4.17524,3210.6,0.0847469,658.848,7412.04,1,1,1,1,17,18,14,25,1,0.42742,0.128205,0.123077,0.321298,1,0.666667,0.461538,1,0.803814,0.571429,0.142857,0.142857,0.142857
Bigkoo__Android-PickerView,,java,1,69,112,19,43,356,322,34,632,250,382,1,180,73,83,63,7,606,109,52,336,910,382,62,8.27907,2,50,11.5805,5.81395,1,72,0.94382,0,20,2.22781,0.94382,1,9,1.30349,1.07303,1,7,3.64,37,0.162791,0.162791,3,1,1,0.651786,11,0.651786,10,10,3,0.894737,5,6,2.26316,7,7,0.985507,2,9,1.62319,4,10,8.27907,2,50,3.16573,2,6,42,4.68719,16.2549,91.9183,474.007,8.40173,30268.2,0.158002,1155,18387,1,1,1,1,19,10,4,10,1,0.433333,0.164762,0.0622222,0.339683,1,1,0.6,1,0.258298,0.466667,0.133333,0.0666667,0.333333
Blankj__AndroidUtilCode,,java,1,350,705,68,445,4792,4336,456,7719,1229,6490,1,1054,299,716,685,110,6021,715,262,4783,3102,6490,451,10.7685,4,200,19.502,2.7618,1,58,0.998122,1,22,1.2808,0.998122,0,49,2.50304,1.35434,1,12,2.524,39,0.247191,0.247191,30,3,1.42056,0.424113,18,0.424113,16,16,7,0.970588,3,11,6.54412,10,243,0.997143,2,41,2.01429,4,82,10.7685,4,200,2.21119,1,5,45,2.68872,15.6306,50.6616,229.099,5.79339,3586.76,0.0763663,470.45,5290.55,1,1,1,1,78,76,47,244,1,0.0955516,0.40852,0.202438,0.293491,1,1,1,1,0.463163,0.0769231,0.423077,0.134615,0.365385
Blankj__awesome-java-leetcode,,java,1,145,145,73,70,223,152,71,212,10,202,1,289,19,140,142,0,233,84,79,122,61,202,29,3.18571,3,6,0.486764,0.142857,0,4,0.547085,0,3,0.812612,0.547085,0,8,1.04443,0.90583,1,5,6.1,12,0,0,0,,,0.131034,1,0.131034,10,7,3,0.986301,0,34,0.958904,1,3,0.993103,0,68,1,1,4,3.18571,3,6,3.40807,3,7,14,2.70182,20.2632,92.8816,425.9,16.08,12864.2,0.141967,888.383,32533.1,1,0,1,1,3,19,0,48,1,0.0147059,0.279412,0,0.705882,1,1,0,1,0,0.0147059,0.279412,0,0.705882
